"","idstatefrom","idaction","idstateto","reward","step","episode"
"141",8,0,8,936,140,0
"142",8,0,27,936.000000000002,141,0
"143",27,4,24,-649.000000000001,142,0
"144",24,4,16,-495.99999999999,143,0
"145",16,1,8,-55.9999999999993,144,0
"146",8,0,13,935.999999999995,145,0
"147",13,1,7,30.9999999999995,146,0
"148",7,0,11,950.999999999996,147,0
"149",11,1,12,78.9999999999987,148,0
"150",12,1,15,55.9999999999994,149,0
"151",15,1,16,-24.9999999999995,150,0
"152",16,1,14,-55.9999999999989,151,0
"153",14,1,12,4,152,0
"154",12,1,8,55.9999999999988,153,0
"155",8,0,13,935.999999999995,154,0
"156",13,1,11,30.9999999999999,155,0
"157",11,1,11,78.9999999999989,156,0
"158",11,1,13,78.9999999999986,157,0
"159",13,1,6,30.9999999999995,158,0
"160",6,0,18,963.999999999997,159,0
"161",18,1,14,-124,160,0
"162",14,1,9,4,161,0
"163",9,1,9,118.999999999999,162,0
"164",9,1,10,118.999999999998,163,0
"165",10,1,9,99.9999999999968,164,0
"166",9,1,8,118.999999999998,165,0
"167",8,0,17,935.999999999976,166,0
"168",17,2,11,-128.999999999999,167,0
"169",11,1,4,78.9999999999983,168,0
"170",4,0,9,983.999999999967,169,0
"171",9,1,11,118.999999999998,170,0
"172",11,1,13,78.9999999999986,171,0
"173",13,1,20,31,172,0
"174",20,3,22,-280,173,0
"175",22,4,15,-403.999999999981,174,0
"176",15,1,14,-24.9999999999994,175,0
"177",14,1,12,4,176,0
"178",12,1,6,55.9999999999991,177,0
"179",6,0,13,963.999999999998,178,0
"180",13,1,11,30.9999999999999,179,0
"181",11,1,3,79.0000000000004,180,0
"182",3,0,10,991.000000000022,181,0
"183",10,1,16,99.9999999999993,182,0
"184",16,1,25,-55.9999999999999,183,0
"185",25,4,22,-545,184,0
"186",22,4,15,-403.999999999981,185,0
"187",15,1,6,-24.9999999999997,186,0
"188",6,0,16,963.999999999998,187,0
"189",16,1,11,-55.9999999999987,188,0
"190",11,1,13,78.9999999999986,189,0
"191",13,1,14,31.0000000000001,190,0
"192",14,1,15,4,191,0
"193",15,1,5,-25.0000000000001,192,0
"194",5,0,8,974.999999999986,193,0
"195",8,0,23,935.999999999995,194,0
"196",23,4,19,-448.999999999985,195,0
"197",19,3,7,-241.000000000001,196,0
"198",7,0,16,950.999999999995,197,0
"199",16,1,12,-55.9999999999988,198,0
"200",12,1,7,55.9999999999991,199,0
"201",7,0,17,950.999999999995,200,0
"202",17,2,15,-129,201,0
"203",15,1,9,-24.9999999999991,202,0
"204",9,1,8,118.999999999998,203,0
"205",8,0,16,935.999999999978,204,0
"206",16,1,7,-55.9999999999986,205,0
"207",7,0,19,950.999999999996,206,0
"208",19,3,9,-241,207,0
"209",9,1,5,118.999999999998,208,0
"210",5,0,11,974.999999999957,209,0
"211",11,1,10,78.9999999999989,210,0
"212",10,1,10,99.9999999999968,211,0
"213",10,1,5,99.9999999999968,212,0
"214",5,0,16,974.999999999968,213,0
"215",16,1,13,-55.9999999999989,214,0
"216",13,1,8,30.9999999999997,215,0
"217",8,0,27,936.000000000002,216,0
"218",27,4,15,-649,217,0
"219",15,1,6,-24.9999999999997,218,0
"220",6,0,14,963.999999999998,219,0
"221",14,1,15,4,220,0
"222",15,1,12,-24.9999999999993,221,0
"223",12,1,6,55.9999999999991,222,0
"224",6,0,11,963.999999999998,223,0
"225",11,1,11,78.9999999999989,224,0
"226",11,1,5,78.9999999999989,225,0
"227",5,0,18,975.000000000005,226,0
"228",18,1,20,-124,227,0
"229",20,3,12,-279.999999999991,228,0
"230",12,1,9,55.9999999999987,229,0
"231",9,1,15,118.999999999999,230,0
"232",15,1,16,-24.9999999999995,231,0
"233",16,1,11,-55.9999999999987,232,0
"234",11,1,12,78.9999999999987,233,0
"235",12,1,7,55.9999999999991,234,0
"236",7,0,16,950.999999999995,235,0
"237",16,1,8,-55.9999999999993,236,0
"238",8,0,17,935.999999999976,237,0
"239",17,2,15,-129,238,0
"240",15,1,17,-24.9999999999997,239,0
"241",17,2,24,-129,240,0
"242",24,4,14,-495.999999999993,241,0
"243",14,1,15,4,242,0
"244",15,1,8,-24.9999999999991,243,0
